nohup: ignoring input
训练次数：2300, Loss: 0.2371712625026703
训练次数：2310, Loss: 0.0769176185131073
训练次数：2320, Loss: 0.031132442876696587
训练次数：2330, Loss: 0.058689698576927185
训练次数：2340, Loss: 0.14000387489795685
训练次数：2350, Loss: 0.0375957265496254
训练次数：2360, Loss: 0.028187135234475136
训练次数：2370, Loss: 0.08196026086807251
训练次数：2380, Loss: 0.10199959576129913
训练次数：2390, Loss: 0.051000501960515976
训练次数：2400, Loss: 0.09581784158945084
训练次数：2410, Loss: 0.038283396512269974
训练次数：2420, Loss: 0.07326142489910126
训练次数：2430, Loss: 0.06250493228435516
训练次数：2440, Loss: 0.06868334859609604
训练次数：2450, Loss: 0.062329068779945374
训练次数：2460, Loss: 0.08033163100481033
训练次数：2470, Loss: 0.07128433138132095
训练次数：2480, Loss: 0.051929131150245667
训练次数：2490, Loss: 0.05646082013845444
训练次数：2500, Loss: 0.05288948491215706
训练次数：2510, Loss: 0.03172053396701813
训练次数：2520, Loss: 0.0785389095544815
训练次数：2530, Loss: 0.056177012622356415
训练次数：2540, Loss: 0.131045401096344
训练次数：2550, Loss: 0.07529619336128235
训练次数：2560, Loss: 0.0536857545375824
训练次数：2570, Loss: 0.08419404178857803
训练次数：2580, Loss: 0.06418431550264359
训练次数：2590, Loss: 0.10141020268201828
训练次数：2600, Loss: 0.10307636857032776
训练次数：2610, Loss: 0.06893371045589447
训练次数：2620, Loss: 0.08459629118442535
训练次数：2630, Loss: 0.07161256670951843
训练次数：2640, Loss: 0.05852498486638069
训练次数：2650, Loss: 0.047775134444236755
训练次数：2660, Loss: 0.14361043274402618
训练次数：2670, Loss: 0.041778020560741425
训练次数：2680, Loss: 0.05499676614999771
训练次数：2690, Loss: 0.04059887304902077
训练次数：2700, Loss: 0.08479731529951096
训练次数：2710, Loss: 0.08472123742103577
训练次数：2720, Loss: 0.040752116590738297
训练次数：2730, Loss: 0.043552104383707047
训练次数：2740, Loss: 0.0389287993311882
训练次数：2750, Loss: 0.15582650899887085
训练次数：2760, Loss: 0.10808508843183517
训练次数：2770, Loss: 0.052722200751304626
训练次数：2780, Loss: 0.03583569452166557
训练次数：2790, Loss: 0.04675369709730148
训练次数：2800, Loss: 0.2506806254386902
训练次数：2810, Loss: 0.06317832320928574
训练次数：2820, Loss: 0.0379360169172287
训练次数：2830, Loss: 0.04625910893082619
训练次数：2840, Loss: 0.1234704852104187
训练次数：2850, Loss: 0.21175611019134521
训练次数：2860, Loss: 0.10243533551692963
训练次数：2870, Loss: 0.12685151398181915
训练次数：2880, Loss: 0.04784463718533516
训练次数：2890, Loss: 0.0743984580039978
训练次数：2900, Loss: 0.06047647446393967
训练次数：2910, Loss: 0.06490936875343323
训练次数：2920, Loss: 0.05822544917464256
训练次数：2930, Loss: 0.04657077044248581
训练次数：2940, Loss: 0.05776047706604004
训练次数：2950, Loss: 0.13843972980976105
训练次数：2960, Loss: 0.05190148204565048
训练次数：2970, Loss: 0.04104442149400711
训练次数：2980, Loss: 0.09289845079183578
训练次数：2990, Loss: 0.04760969057679176
训练次数：3000, Loss: 0.03660973906517029
训练次数：3010, Loss: 0.03620414063334465
训练次数：3020, Loss: 0.059808049350976944
训练次数：3030, Loss: 0.05893103405833244
训练次数：3040, Loss: 0.13517113029956818
训练次数：3050, Loss: 0.03992664813995361
训练次数：3060, Loss: 0.036706067621707916
训练次数：3070, Loss: 0.26141390204429626
训练次数：3080, Loss: 0.06007413938641548
训练次数：3090, Loss: 0.09012635797262192
训练次数：3100, Loss: 0.13199369609355927
训练次数：3110, Loss: 0.04924309253692627
训练次数：3120, Loss: 0.04141281172633171
训练次数：3130, Loss: 0.029727956280112267
训练次数：3140, Loss: 0.041620854288339615
训练次数：3150, Loss: 0.26249775290489197
训练次数：3160, Loss: 0.04324640333652496
训练次数：3170, Loss: 0.26613306999206543
训练次数：3180, Loss: 0.06843922287225723
训练次数：3190, Loss: 0.06628165394067764
训练次数：3200, Loss: 0.08005539327859879
训练次数：3210, Loss: 0.11149713397026062
训练次数：3220, Loss: 0.04509573429822922
训练次数：3230, Loss: 0.047701749950647354
训练次数：3240, Loss: 0.05273747071623802
训练次数：3250, Loss: 0.21446236968040466
训练次数：3260, Loss: 0.0408346951007843
训练次数：3270, Loss: 0.23253682255744934
训练次数：3280, Loss: 0.06570358574390411
训练次数：3290, Loss: 0.06709212064743042
训练次数：3300, Loss: 0.07048772275447845
训练次数：3310, Loss: 0.06079871207475662
训练次数：3320, Loss: 0.04532425478100777
训练次数：3330, Loss: 0.08019495755434036
训练次数：3340, Loss: 0.091007761657238
训练次数：3350, Loss: 0.22409597039222717
训练次数：3360, Loss: 0.04481101408600807
训练次数：3370, Loss: 0.042753756046295166
训练次数：3380, Loss: 0.1450197845697403
训练次数：3390, Loss: 0.06143786758184433
训练次数：3400, Loss: 0.04193806275725365
训练次数：3410, Loss: 0.12175033241510391
训练次数：3420, Loss: 0.05849454179406166
训练次数：3430, Loss: 0.05227333679795265
训练次数：3440, Loss: 0.22313129901885986
训练次数：3450, Loss: 0.0700695738196373
训练次数：3460, Loss: 0.07489126920700073
训练次数：3470, Loss: 0.03219969570636749
训练次数：3480, Loss: 0.0719260647892952
训练次数：3490, Loss: 0.06709278374910355
训练次数：3500, Loss: 0.03933341056108475
训练次数：3510, Loss: 0.11962258070707321
训练次数：3520, Loss: 0.07181873917579651
训练次数：3530, Loss: 0.05747604742646217
训练次数：3540, Loss: 0.21781286597251892
训练次数：3550, Loss: 0.038696981966495514
训练次数：3560, Loss: 0.043911587446928024
训练次数：3570, Loss: 0.05280492454767227
训练次数：3580, Loss: 0.05001359060406685
训练次数：3590, Loss: 0.07068826258182526
训练次数：3600, Loss: 0.060537707060575485
训练次数：3610, Loss: 0.07791588455438614
训练次数：3620, Loss: 0.08314630389213562
训练次数：3630, Loss: 0.054450444877147675
训练次数：3640, Loss: 0.062386300414800644
